,author,times,average
805,Ksenija Stanojevic ,42,1081970
806,Ivan Safonov ,193,159970
808,Muraru Mihaela ,1,0
809,shyam saini ,1,0
810,Georgiana Rodica Chelu ,12,95503
811,Fernando Apesteguia ,3,871265
812,Bhumika Goyal ,93,226983
813,Elizabeth Ferdman ,3,837
814,Namrata A Shettar ,22,60637
815,Carlos Palminha ,39,534416
816,Wayne Porter ,3,467
817,Sergio Paracuellos ,120,11820
818,Moshe Green ,7,604057
819,Tudor Ambarus ,9,4755000
820,Gary R Hook ,20,932446
821,Marcelo Cerri ,4,141
822,Jan Stancek ,10,4013005
823,Ondrej Mosnáček ,1,0
824,Rui Miguel Silva ,97,558452
825,Mark Greer ,20,2486519
826,popcornmix ,1,0
827,Mike Marciniszyn ,94,374526
828,Dean Luick ,110,270443
829,Harish Chegondi ,43,587557
830,Sebastian Sanchez ,23,1262071
831,Tymoteusz Kielan ,2,5244069
832,sayli karnik ,23,70823
833,Tyler Hicks ,4,11789893
834,Jon Bailey ,1,0
835,Misael Lopez Cruz ,11,4197069
836,Seth Forshee ,14,1333521
837,Chao Yu ,239,185958
838,Tiezhu Yang ,7,6082464
839,Sheng Yong ,7,5114761
840,Yunlei He ,16,2828610
841,Weichao Guo ,1,0
842,Eric Ren ,6,5741142
843,Frank Sorenson ,9,788132
844,Vishwanath Pai ,5,4019665
845,Aaron Conole ,14,2438438
846,Niklas Söderlund ,47,563394
847,Eric W. Biederman ,264,166927
848,Javi Merino ,35,1307571
849,Andrzej Hajda ,199,222942
850,Milo Kim ,23,1802368
851,Cao jin ,2,13398793
852,Toke Høiland-Jørgensen ,6,298400
853,Ayala Beker ,26,1420997
854,David Spinadel ,13,3744128
855,KarimAllah Ahmed ,2,39513577
856,Frederic Weisbecker ,61,751353
857,Dietmar Eggemann ,12,3008620
858,Tang Yuantian ,16,2759866
859,Sascha Silbe ,9,3520369
860,Stefan Haberland ,21,1922073
861,Eric Engestrom ,49,384399
862,Calvin Owens ,12,3216113
863,Eric Whitney ,6,8055740
864,David Decotigny ,23,1882725
865,Jia He ,9,2916303
866,Greg Kroah-Hartman ,485,139405
867,gmail ,1,0
868,Milton Miller ,1,0
869,Vivien Didelot ,211,200855
870,Ondrej Zary ,88,413927
871,Zang Leigang ,1,0
872,Joel Stanley ,18,2579641
873,Alistair Popple ,22,2043915
874,Kuninori Morimoto ,552,81683
875,Richard Guy Briggs ,21,2112126
876,Steven J. Hill ,7,2004579
877,Olga Kornievskaia ,8,5999946
878,Masami Hiramatsu ,127,355904
879,Mathieu Poirier ,96,449131
880,Simon Que ,2,12165657
881,Tejun Heo ,331,130844
882,Nicolas Iooss ,39,1177134
883,Laurent Georget ,1,0
884,Nicolas Ferre ,56,783561
885,Masanari Iida ,87,511132
886,Balbir Singh ,7,3235313
887,Li Zhong ,3,1530831
888,Andrey Smirnov ,25,537026
889,Yongji Xie ,5,2827182
890,Flora Cui ,38,770934
891,Mark Fasheh ,10,4571928
892,Bastian Hecht ,1,0
893,George G. Davis ,1,0
894,Aleksey Makarov ,20,2200160
895,Leif Lindholm ,4,10140463
896,Lawrence Brakmo ,5,3074237
897,Jouni Malinen ,14,1986295
898,Chaehyun Lim ,557,73773
899,Miaoqing Pan ,41,939145
900,Rajkumar Manoharan ,70,717286
901,Mohammed Shafi Shajakhan ,41,758274
902,Darryl T. Agostinelli ,4,44738
903,Zach Brown ,6,5211790
904,Martin Alonso ,1,0
905,Tim Sell ,72,537055
906,Hadar Hen Zion ,25,1710215
907,Matthew Kilgore ,1,0
908,Lee Duncan ,5,7763842
909,Kyuho Choi ,1,0
910,Todd Fujinaka ,16,2953372
911,Jon Derrick ,18,2440154
912,Ke Wang ,1,0
913,Christoffer Dall ,49,889298
914,jbaron@akamai.com ,1,0
915,Ben Greear ,20,1519047
916,Vasanthakumar Thiagarajan ,42,1201540
917,Masaki Ota ,3,4389542
918,Philippe Reynes ,117,375938
919,Eric Nelson ,13,3471775
920,Yannis Damigos ,5,109200
921,Daeseok Youn ,52,780026
922,Eric Salem ,1,0
923,Grygorii Maistrenko ,1,0
924,David Binder ,29,519283
925,Jon Frisch ,13,107910
926,Matt Kilgore ,1,0
927,Sabitha George ,1,0
928,Matias Mucciolo ,3,647408
929,wang di ,58,229269
930,Quentin Lambert ,9,5724299
931,Bryan O'Donoghue ,136,324849
932,Chase Metzger ,5,8975438
933,Vaibhav Agarwal ,74,365047
934,Thor Thayer ,64,703599
935,Sascha Hauer ,73,612254
936,Scott Telford ,3,751066
937,Anirudha Sarangi ,2,435886
938,Alexey Starikovskiy ,1,0
939,"Rusk, Mark ",1,0
940,Luis R. Rodriguez ,109,404070
941,Vitaly Kuznetsov ,149,287010
943,Kyle Jones ,1,0
944,Yonglong Wu ,1,0
945,Tomi Valkeinen ,199,213340
946,Mickaël Salaün ,19,1340865
947,Wei Ni ,28,1267650
948,dawei.chien@mediatek.com ,3,6854612
949,Laxman Dewangan ,221,203629
950,Marc Gonzalez ,22,1454855
951,Bui Duc Phuc ,3,642428
952,Zhang Rui ,6,7834132
954,Jia Hongtao ,4,4454431
955,Caesar Wang ,107,366223
956,Eduardo Valentin ,32,1405074
957,Rajendra Nayak ,32,1402851
958,Thomas Huth ,18,2275579
959,Vinod Koul ,220,204599
960,Ville Ranki ,1,0
961,Siebren Vroegindeweij ,1,0
962,Hugh Kang ,1,0
963,Vincent Stehlé ,11,3244888
964,Gayatri Kammela ,6,4303094
965,Yong Zhi ,9,3403512
966,Gonçalo Salazar ,1,0
967,Emmanuel Grumbach ,127,357538
968,Alex Williamson ,55,799799
969,Ziyuan Xu ,2,5482645
970,Baolin Wang ,19,1949019
971,Ai Kyuse ,3,9236883
972,Thierry Reding ,392,112995
973,Jin Guojun ,1,0
974,Guodong Xu ,16,2093707
975,Daniel Glöckner ,2,1802537
976,Jungseung Lee ,3,11505737
977,Michael Weiser ,2,2974334
978,Jean-Francois Moine ,12,3401804
979,Douglas Anderson ,72,518427
980,Christopher Freeman ,1,0
981,Uri Yanai ,1,0
982,Ben Dooks ,112,392319
983,Bamvor Jian Zhang ,25,1425114
984,Vasily Averin ,7,6606171
985,Sam Van Den Berge ,1,0
986,Cathy Luo ,4,14577645
987,Anand Jain ,70,611434
988,Jeff Mahoney ,50,749561
989,Hante Meuleman ,93,475362
990,Arend Van Spriel ,9,755059
991,彭东林 ,1,0
992,Adam Thomson ,51,644438
993,Vishal Thanki ,3,7469833
994,Danny Milosavljevic ,3,83335
995,Qu Wenruo ,59,717357
996,Luis Henriques ,14,3334436
997,Naohiro Aota ,3,17889683
998,Lu Fengqi ,1,0
999,Eric Jeong ,1,0
1000,Ganapathi Bhat ,10,3342384
1001,Jason Baron ,17,2730616
1002,Simon Wood ,24,1773710
1003,Frank Praznik ,13,3659056
1004,Michel Hermier ,1,0
1005,Purushottam Kushwaha ,3,3537443
1006,Robert Jarzmik ,143,305607
1007,Dave Chinner ,107,391312
1008,KOVACS Krisztian ,1,0
1009,Christopher Pezley ,1,0
1010,Antti Keränen ,1,0
1011,Claudiu Manoil ,28,1614136
1012,Christophe Leroy ,62,502627
1013,Kevin Hao ,17,2593130
1014,Mitch Williams ,106,375907
1015,Zhao Qiang ,27,1143621
1016,Vaishali Thakkar ,76,555234
1017,Akeem Abodunrin ,1,0
1018,Bimmy Pujari ,6,2312162
1019,Henry Tieman ,1,0
1020,Preethi Banala ,4,4141317
1021,Alan Brady ,4,1074920
1022,Harshitha Ramamurthy ,4,4924978
1023,Kamal Dasu ,10,4533603
1024,John Keeping ,38,723727
1025,Sandeep Tayal ,1,0
1026,Oder Chiou ,34,1322386
1027,Joonwoo Park ,5,10981739
1028,Dharageswari R ,13,2095342
1029,Wonjoon Lee ,1,0
1030,Jan Remmet ,1,0
1031,Sean Wang ,31,122046
1032,Moshe Shemesh ,6,214092
1033,Peter Griffin ,82,547131
1034,Shubhrajyoti Datta ,27,1663964
1035,Sean Paul ,20,2085660
1036,Vignesh Raman ,1,0
1037,Dean Jenkins ,15,2644841
1038,Giedrius Statkevičius ,13,3633583
1039,zino lin ,1,0
1040,Alexander Solganik ,1,0
1041,Chaitanya Kulkarni ,1,0
1042,James Smart ,77,541144
1043,Kelvin Cheung ,11,1444167
1044,Enric Balletbo i Serra ,25,1742961
1045,Christian Gromm ,147,252597
1046,Glauber Costa ,1,0
1047,Jagan Teki ,7,7076209
1048,Nils Wallménius ,20,904701
1049,yizhouzhou@ict.ac.cn ,1,0
1050,Daniel Wagner ,28,1465685
1051,Andrea Gelmini ,54,201720
1052,Nilesh Bacchewar ,1,0
1053,Jannik Becher ,2,2503827
1054,Johan Svensson ,1,0
1055,Daniel Schultz ,1,0
1056,Juliana Rodrigues ,8,2208181
1057,Eva Rachel Retuya ,56,536998
1058,Douglas Caetano dos Santos ,1,0
1059,AKASHI Takahiro ,8,4006747
1060,David Daney ,59,618247
1061,Michal Marek ,24,1672112
1062,Harvey Hunt ,12,2031004
1063,Kyle Roeschley ,2,17770177
1064,Han Xu ,9,4941818
1065,Mark Rustad ,83,535197
1066,Anssi Hannula ,3,12263970
1067,Lihong Yang ,1,0
1068,Sridhar Samudrala ,8,2184409
1069,Carolyn Wyborny ,21,1884260
1070,Andrey Vagin ,8,4362913
1071,Rui Teng ,4,4205907
1072,Russell Currey ,16,1558486
1073,Jyri Sarha ,89,501751
1074,Oren Givon ,26,1514229
1075,Vadim Pasternak ,3,589768
1076,Matthias Schwarzott ,21,1331020
1077,Abylay Ospan ,23,1319246
1078,Harman Kalra ,3,78645
1079,Arek Lichwa ,1,0
1080,Rabin Vincent ,68,641960
1081,Joe Thornber ,48,885824
1082,Frank Min ,1,0
1083,Ole Ernst ,1,0
1084,Jesper Nilsson ,5,8286756
1085,Guoqing Jiang ,61,558487
1086,Antti Palosaari ,126,343607
1087,Sakari Ailus ,77,584088
1088,Pan Xinhui ,16,2497819
1089,Srivatsa Vaddagiri ,1,0
1090,Cheng Chao ,2,1
1091,Gustavo Padovan ,168,255151
1092,Brian Starkey ,8,2265157
1093,Tom Gundersen ,2,6
1094,Catalin Vasile ,4,10076211
1095,Con Kolivas ,1,0
1096,Rehas Sachdeva ,42,430438
1097,Katie Dunne ,2,340995
1098,David Lin ,41,427280
1099,Richard Groux ,3,195077
1100,Andrey Shvetsov ,17,54478
1101,Jan Kiszka ,17,2731888
1102,Adam Borowski ,7,2117614
1103,Andrew Banman ,11,2309582
1104,Kai-Heng Feng ,5,4536855
1105,Sergei Miroshnichenko ,1,0
1106,Karol Herbst ,36,800076
1107,Yuchung Cheng ,36,1089777
1108,Ilia Mirkin ,23,1661007
1109,Rana Shahout ,9,5186459
1110,Rahul Lakkireddy ,8,372435
1111,Raghavendra Ganiga ,1,0
1112,Dmitry Bazhenov ,2,370
1113,Don Brace ,50,844302
1114,Kiwoong Kim ,2,1069652
1115,Gabriele Mazzotta ,8,6171747
1116,Dou Liyang ,3,585228
1117,Gu Zheng ,5,9823034
1118,Tang Chen ,4,11024879
1119,Christian Lamparter ,16,1160939
1120,Martin Brandenburg ,68,456548
1121,Yadi.hu ,1,0
1122,Hans Verkuil ,453,97896
1123,Simon A. F. Lund ,3,5952790
1124,Tomasz Figa ,13,3635418
1125,Valdis Kletnieks ,13,2742649
1126,Vaibhav Hiremath ,79,479206
1127,David Kershner ,104,420978
1128,Jamie Lentin ,13,2922388
1129,James Simmons ,153,267449
1130,Nogah Frankel ,16,547212
1131,hayeswang ,33,1151442
1132,Neal Cardwell ,13,2710322
1133,Mahesh Bandewar ,20,2292522
1134,Alan Cox ,10,2691381
1135,Richard Sailer ,7,4969959
1136,Matt Ranostay ,75,543741
1137,Zhou Wenjian ,2,5
1138,Kalle Kankare ,2,6101482
1139,Tyler Baicar ,2,60
1140,Ladislav Michl ,2,29725255
1141,Aleksander Alekseev ,1,0
1142,Vincent Abriou ,36,1160186
1143,Heinrich Schuchardt ,34,586705
1144,Ray Strode ,1,0
1145,Rafael Antognolli ,4,6363627
1146,Cathal Mullaney ,3,111903
1147,Hariharan R ,2,700542
1148,Xavier Roumegue ,1,0
1149,Anchal Jain ,21,918041
1150,Nayeemahmed Badebade ,5,8065785
1151,Fabien Dessenne ,18,2381216
1152,Benjamin Gaignard ,16,2383949
1153,Jesper Dangaard Brouer ,52,845826
1154,Jacek Anaszewski ,46,968821
1155,Rob Swindell ,8,3296540
1156,Vincent Bernat ,3,17031403
1157,Eddie Wai ,1,0
1158,Deepak Khungar ,1,0
1159,Steffen Klassert ,11,4380494
1160,Ashish Samant ,6,3272116
1161,Santosh Shilimkar ,16,2252643
1162,Ebru Akagunduz ,9,3442961
1163,Pratyush Anand ,16,2603125
1164,Neil Armstrong ,110,287658
1165,Vinson Lee ,3,7186120
1166,Ulrich Hecht ,50,875188
1167,Nick Dyer ,22,1694292
1168,Georges Savoundararadj ,1,0
1169,Szymon Janc ,11,3174720
1170,Loic Poulain ,35,1196864
1171,Marcel Holtmann ,101,405584
1172,Frédéric Dalleau ,1,0
1173,Alexander Aring ,223,190452
1174,Kieran Bingham ,34,964220
1175,Edward O'Callaghan ,18,1295938
1176,Charles-Antoine Couret ,7,889504
1177,Andrey Utkin ,6,2281682
1178,Songjun Wu ,18,1692519
1179,Andy Adamson ,13,1631973
1180,Amitoj Kaur Chawla ,266,163151
1181,Johan Fjeldtvedt ,6,222194
1182,kevin Barnett ,1,0
1183,Mahesh Rajashekhara ,10,3020773
1184,Tiffany Lin ,20,1523234
1185,Bryant G. Ly ,5,1324444
1186,Marian Krivoš ,1,0
1188,Ilan Tayari ,1,0
1189,Lothar Waßmann ,45,412941
1190,RogerCC Lin ,2,31
1191,Roee Zamir ,1,0
1192,Doug Oucharek ,9,2259919
1193,Sebastien Buisson ,12,2420539
1194,Quentin Bouget ,1,0
1195,Ned Bass ,3,6919836
1196,Mikhail Pershin ,4,4122301
1197,frank zago ,10,2958427
1198,Johann Lombardi ,1,0
1199,Artem Blagodarenko ,1,0
1200,Bobi Jam ,12,1352102
1201,Fan Yong ,15,2282043
1202,John L. Hammond ,83,493659
1203,Liang Zhen ,32,1030600
1204,Dmitry Eremin ,55,763587
1205,Andreas Dilger ,29,1566727
1206,Alexander Boyko ,7,2061082
1207,Jinshan Xiong ,38,401960
1208,Nathaniel Clark ,10,894541
1209,Amir Shehata ,33,570758
1210,Bob Glossman ,3,3906753
1211,Alexey Lyashkov ,1,0
1212,Yoshifumi Uemura ,1,0
1213,Niu Yawei ,12,2904354
1214,Henri Doreau ,5,4933374
1215,Lai Siyao ,9,1545739
1216,Jian Yu ,5,4327503
1217,Yang Sheng ,3,3906358
1218,Vitaly Fertman ,8,2124534
1219,Li Xi ,9,3993402
1221,Patrick Farrell ,3,3906358
1222,Prakash Surya ,5,3091329
1223,Wang Shilong ,2,6501834
1224,Kristian H. Kristensen ,2,319569
1225,Alexander Zarochentsev ,1,0
1226,Sharon Dvir ,4,8093068
1227,Arik Nemtsov ,25,1831940
1228,Avrahams Stern ,1,0
1229,Steve Longerbeam ,16,644945
1230,Aviya Erenfeld ,9,4449187
1231,Liad Kaufman ,41,1099068
1232,Thadeu Lima de Souza Cascardo ,7,5807966
1233,Carlos Maiolino ,13,3209893
1234,Peter Meerwald-Stadler ,21,787767
1235,Gregor Boirie ,31,595923
1236,Amitesh Singh ,2,513693
1237,Ico Doornekamp ,1,0
1238,Jon Eyolfson ,1,0
1239,Andrew Kanner ,1,0
1240,Bob Copeland ,40,1143539
1241,phil.turnbull@oracle.com ,2,4549185
1242,Filipe Manco ,1,0
1243,Gabriel Fernandez ,26,1514246
1244,Alexandre Courbot ,110,374547
1245,Jordan Lazare ,3,10415109
1246,Matthias Kaehlcke ,4,58120
1247,Mark Salter ,7,6008429
1248,Laurent Navet ,9,5300513
1249,Markus Heiser ,29,240289
1250,Robert Foss ,10,1488392
1251,Vinay Simha BN ,8,5302299
1252,Michael Olbrich ,2,5739468
1253,Luiz Capitulino ,11,4304696
1254,"Winkler, Tomas ",4,75
1255,Chanwoo Choi ,131,332498
1256,Mika Kahola ,31,1431376
1257,Phil Turnbull ,9,2386361
1258,Cheng-Yi Chiang ,1,0
1259,Aihua Zhang ,2,16118768
1260,Jean-Philippe Brucker ,16,1972409
1261,Peng Fan ,19,2189611
1262,Gargi Sharma ,17,15186
1263,Thomas Richter ,10,5143131
1264,Ursula Braun ,13,2594830
1265,Hans Wippel ,4,2624660
1266,Mark Tomlinson ,3,9136480
1267,Ivan Mikhaylov ,3,15254968
1268,Jun Nie ,40,1109217
1269,Paul E. McKenney ,285,147087
1270,Tobias Regnery ,6,342807
1271,Jerome Brunet ,10,11295
1272,Nishanth Menon ,60,708932
1273,Yang Li ,1,0
1274,hotran ,6,965048
1275,Duc Dang ,49,842196
1276,Asbjoern Sloth Toennesen ,1,0
1277,Stefan Roese ,14,2470117
1278,Beni Lev ,3,8826319
1279,wangguang ,1,0
1280,Karl Beldan ,13,267540
1281,Tomas Winkler ,98,427355
1282,Deepak M ,12,2244632
1283,Fabien Lahoudere ,3,1593059
1284,Liu Xiang ,2,21205951
1285,Dave Gordon ,77,502824
1286,David A. Long ,6,997565
1287,Fan Li ,18,2069089
1288,Leo Yan ,30,1460000
1289,Kevin Hilman ,31,1327603
1290,Grigory Kletsko ,1,0
1291,Mayurkumar Patel ,3,7
1292,Junwei Zhang ,13,2780559
1293,Scott Teel ,7,4464466
1294,Finn Thain ,108,369402
1295,Minfei Huang ,25,1747319
1296,Martin Kaiser ,4,1007414
1297,Nicolin Chen ,19,2295388
1298,Samaga Krishna ,1,0
1299,John Garry ,105,243889
1300,Matthew R. Ochs ,50,725639
1301,Jeeja KP ,132,341259
1302,John Hsu ,17,1006633
1303,Hsin-Yu Chao ,2,443929
1304,Rodrigo Vivi ,85,541027
1305,Simon Horman ,216,201426
1306,Andreas Kemnade ,9,2383852
1307,Li Jun ,44,828835
1308,Deepak ,1,0
1309,Rik van Riel ,27,1646173
1310,Alexander Sverdlin ,17,2640006
1311,Bharat Kumar Gogada ,14,1254979
1312,Lars Persson ,28,1319355
1313,Simon Chopin ,1,0
1314,Ryan Swan ,1,0
1315,Mike Kofron ,1,0
1316,Shaily Sangwan ,1,0
1317,Omri Arad ,1,0
1318,PrasannaKumar Muralidharan ,14,1122631
1319,Giovanni Cabiddu ,3,4236764
1320,Thomas Pedersen ,1,0
1321,"Agrawal, Nitesh-kumar ",3,1459161
1322,Darren Stevens ,5,1620669
1323,Daniel Axtens ,56,772252
1324,"Navare, Manasi D ",2,285170
1325,Chris Zhong ,31,1253083
1326,Al Stone ,10,4161151
1327,Anisse Astier ,4,13108717
1328,Chen Yu ,16,2356522
1329,Maruthi Srinivas Bayyavarapu ,18,2136432
1330,Po Liu ,4,338
1331,Tomasz Nowicki ,21,1195543
1332,Jorge Ramirez-Ortiz ,7,2761230
1333,Sugar Zhang ,14,2167246
1334,Matthias Seidel ,2,547518
1335,Daniel Thompson ,23,1916382
1336,Maarten Lankhorst ,312,144828
1337,Stephen Warren ,11,1795079
1338,Alexander Shiyan ,42,202712
1339,Erik Arfvidson ,66,655202
1340,Bryan Thompson ,7,398820
1341,Claudiu Beznea ,18,936247
1342,Pavel Andrianov ,3,3231794
1343,Luca Ceresoli ,45,968370
1344,Amit Ghadge ,2,9992460
1345,Raphaël Beamonte ,26,1362784
1346,Maxim Altshul ,7,800407
1347,Denis Kenzior ,5,1424757
1348,Anurag Kumar Vulisha ,6,7948357
1349,Daniel Lezcano ,146,237644
1350,Gautham R. Shenoy ,6,6823288
1351,Suresh Warrier ,19,939758
1352,Mylène Josserand ,20,776596
1353,Joshua Scott ,4,13459744
1354,Rui Wang ,9,2063795
1355,Maninder Singh ,21,2046638
1356,Venkat Reddy Talla ,5,1570929
1357,Frank Wang ,5,519761
1358,Sekhar Nori ,27,1403114
1359,Harry Pan ,1,0
1360,Tommaso Cucinotta ,5,667571
1361,Bob Moore ,121,343420
1362,Jim Bride ,5,3183534
1363,Shaun Tancheff ,7,1355135
1364,Petr Cvek ,25,1190852
1365,Ian Campbell ,8,4960956
1366,Ivan Hu ,1,0
1367,Ricardo Neri ,2,35157701
1368,Sylvain Chouleur ,3,15990886
1369,Jouni Ukkonen ,1,0
1370,Suzuki K Poulose ,80,216399
1371,Zhen Lei ,19,2058715
1372,Jean-Christophe Trotin ,5,59112
1373,Waiman Long ,37,1176280
1374,Eric Bentley ,1,0
1375,Dan Kephart ,2,4472199
1376,Ashok Raj Nagarajan ,9,5787376
1377,Harish Jenny K N ,2,18
1378,Vivek yadav ,1,0
1379,Uma Krishnan ,10,2365491
1380,Chunyan Zhang ,15,2604747
1381,Clemens Gruber ,7,5598447
1382,Xinming Hu ,57,754153
1383,thomas.zeitlhofer+lkml@ze-it.at ,1,0
1384,Quentin Schulz ,5,2384388
1385,Matt Weber ,1,0
1386,Thilo Cestonaro ,3,2187131
1387,Daniel Golle ,5,898446
1388,Yaogong Wang ,1,0
1389,Artem Germanov ,1,0
1390,Thomas F Herbert ,1,0
1391,Gal Pressman ,30,1355627
1392,Bodong Wang ,5,7470978
1393,Lorenzo Colitti ,12,2160588
1394,Zubair Lutfullah Kakakhel ,14,2164495
1395,Andrew Bresticker ,14,3265827
1396,Furquan Shaikh ,2,29813762
1397,Mark Salyzyn ,3,14656510
1398,Doug Anderson ,21,2162408
1399,Shardar Shariff Md ,10,4676551
1400,Casey Schaufler ,15,2997097
1401,Zhuo-hao Lee ,1,0
1402,Wenbo Wang ,1,0
1403,Meng Yi ,6,4511095
1404,Andrej Rosano ,2,9
1405,Alex Ng ,9,4322883
1406,David Hildenbrand ,191,222325
1407,Fan Zhang ,3,17321461
1408,Suravee Suthikulpanit ,51,750961
1409,Jim Baxter ,1,0
1410,Shanker Donthineni ,10,2081854
1411,oliver@schinagl.nl ,1,0
1412,Allen Hung ,4,8258697
1413,Takeshi Kihara ,17,2056985
1414,Vladimir Barinov ,18,2015394
1415,Wei Yang ,35,1230266
1416,subashab@codeaurora.org ,4,11777258
1417,Daniel Baluta ,51,894379
1418,Somnath Kotur ,12,3828206
1419,Suraj Jitindar Singh ,14,1259957
1420,Tomer Tayar ,6,4755995
1421,Shuoran Liu ,5,4277104
1423,Joachim Eastwood ,161,265261
1425,Durgadoss R ,2,45555362
1426,Ander Conselvan de Oliveira ,111,414139
1427,Roger Chen ,4,136921
1428,Jan Dakinevich ,2,2
1429,Liang Li ,1,0
1430,Corentin LABBE ,19,744108
1431,Maksim Lukoshkov ,2,598055
1432,Marco Angaroni ,9,1991251
1433,David Weinehall ,14,3104760
1434,Dexuan Cui ,30,1445095
1435,Thinh Nguyen ,1,0
1436,K. Y. Srinivasan ,50,831277
1437,Helmut Buchsbaum ,9,5284475
1438,Woojung Huh ,7,2473203
1439,Ezequiel Garcia ,57,746892
1440,Loic PALLARDY ,2,19
1441,Haixia Shi ,2,18152517
1442,Akash Goel ,15,2600199
1443,Torgue Alexandre ,1,0
1445,Zhi Wang ,12,634607
1446,Ping Gao ,2,559
1447,Jan Leupold ,3,19137000
1448,Dirk Behme ,15,2624893
1449,Alexander Kuleshov ,56,745724
1450,Martin Schwidefsky ,115,332758
1451,Seung-Woo Kim ,8,5921083
1452,Weiqing Kong ,2,1
1453,Tal Shorer ,14,3127179
1454,James Pettigrew ,2,23
1455,Thiago Jung Bauermann ,4,3807733
1456,Lin Huang ,10,3740820
1457,Dmitry Monakhov ,8,5541604
1458,Kaho Ng ,3,5178008
1459,Daeho Jeong ,9,4433924
1460,Crt Mori ,6,7160231
1461,HungNien Chen ,5,9478438
1462,David Hsu ,1,0
1463,Khiem Nguyen ,2,6584119
1464,Jeffrey Hugo ,4,439
1465,seokhoon.yoon ,5,2320668
1466,Byungchul Park ,14,2832570
1467,Stephane Eranian ,34,1264722
1468,Paul Kocialkowski ,19,2333057
1469,Andy Yan ,11,1939207
1470,Vanessa Maegima ,4,772255
1471,Michael Trimarchi ,7,4102140
1472,Yakir Yang ,58,398678
1473,Shunqian Zheng ,5,1497719
1474,Joe Stringer ,42,880260
1475,Pierre-Louis Bossart ,40,851878
1476,Stanislaw Gruszka ,8,5508642
1477,Guy Mishol ,8,5061557
1478,Ismael Luceno ,2,5810180
1479,Christian Engelmayer ,12,3770330
1480,William Breathitt Gray ,64,428251
1481,"Kweh, Hock Leong ",2,11082953
1482,Alison Schofield ,95,304452
1483,Christoph Fritz ,6,3235790
1484,Sien Wu ,1,0
1485,Sergey Ryazanov ,3,4878003
1486,Karthik D A ,3,2012847
1487,Rajan Vaja ,3,20345072
1488,Raghu Vatsavayi ,53,747308
1489,Bhushan Shah ,6,166142
1490,Emanuel Czirai ,1,0
1491,Lianwei Wang ,2,5774302
1492,Jubin John ,51,630647
1493,Sebastian Frias ,7,3002222
1494,Kevin Barnett ,22,1533718
1495,"Rosen, Rami ",4,11678479
1496,Brendan Gregg ,2,2088002
1497,Raju Rangoju ,1,0
1498,Jon Masters ,2,6283898
1499,Maharaja Kennadyrajan ,4,9566658
1500,Finley Xiao ,5,3017821
1501,Tamizh chelvam ,8,4014934
1502,Louie Lu ,3,511749
1503,Anson Jacob ,31,34329
1504,Sandeep Patil ,12,1329880
1505,Philip Yang ,2,3592101
1506,David Rientjes ,17,2594586
1507,Mel Gorman ,121,313201
1508,Alexander Müller ,7,1634650
1509,Roopa Prabhu ,29,1352385
1510,Carlo Caione ,35,1210911
1511,Dave Ertman ,3,692917
1512,Jaswinder Jassal ,1,0
1513,Richard Leitner ,3,5933888
1514,Harsha Priya ,3,17512640
1515,Teresa Remmet ,8,5040269
1516,Parthasarathy Bhuvaragan ,22,888165
1517,Wu Fengguang ,14,3253611
1518,Stuart Yoder ,39,924240
1519,MingChia Chung ,1,0
1520,Matthias Beyer ,2,4147126
1521,Binoy Jayan ,30,249049
1522,Didik Setiawan ,2,1471876
1523,Johanna Abrahamsson ,6,193152
1524,Ben LeMasurier ,3,605216
1525,Lokesh Nagappa Jaliminche ,1,0
1526,Andrew Perepechko ,6,6083986
1527,Milian Wolff ,7,5654918
1528,York Sun ,14,3049927
1529,Steve Muckle ,8,1609820
1530,Ruchi Kandoi ,2,40684598
1531,Kyle Walker ,1,0
1532,Pratyush Patel ,3,3564532
1533,Andrew F. Davis ,100,352762
1534,Mateusz Guzik ,9,2573472
1535,Chunming Zhou ,164,241051
1536,Ken Wang ,29,1403265
1537,Maruthi Bayyavarapu ,3,11481658
1538,Akinobu Mita ,65,646825
1539,Davide Caratti ,4,1063886
1541,Omer Khaliq ,1,0
1542,Ananth Jasty ,1,0
1543,J.D. Schroeder ,3,17963374
1544,Jimi Damon ,1,0
1546,Sebastian Reichel ,59,648854
1547,Florian Vallee ,2,10987398
1548,Eddie Huang ,15,2955348
1549,Bhuvanchandra DV ,11,2687616
1550,Ludovic Desroches ,71,580148
1551,Vyacheslav V. Yurkov ,1,0
1552,Alex Shi ,1,0
1553,Konstantin Khlebnikov ,61,673728
1554,Martin Fuzzey ,12,3708576
1555,Muhammad Falak R Wani ,64,455511
1556,Xiubo Li ,25,1386093
1557,Jerome Marchand ,11,2586834
1558,Wadim Egorov ,11,1893788
1559,Eli Billauer ,3,16922422
1560,Zhouyi Zhou ,2,7140283
1561,Frank Haverkamp ,1,0
1562,Alexander Kapshuk ,25,1145860
1564,Benedikt Spranger ,1,0
1565,Kim Phillips ,2,38112377
1566,Xavier Gnata ,1,0
1567,Andreas Noever ,2,10433740
1568,Alessio Igor Bogani ,11,1489716
1569,Aaron Sierra ,9,4245140
1570,Andreas Werner ,9,3437630
1571,Jan Viktorin ,1,0
1572,Olivier Schonken ,3,2500378
1573,Vic Yang ,2,10
1574,Lior David ,22,974144
1575,Michal Kazior ,148,319146
1576,Robert Baldyga ,109,318937
1577,Romain Izard ,13,1587112
1578,Andy Green ,9,2966420
