author,times,average
Darryl T. Agostinelli ,4,44738
Zach Brown ,6,5211790
Martin Alonso ,1,0
Tim Sell ,72,537055
Hadar Hen Zion ,25,1710215
Matthew Kilgore ,1,0
Lee Duncan ,5,7763842
Kyuho Choi ,1,0
Todd Fujinaka ,16,2953372
Jon Derrick ,18,2440154
Ke Wang ,1,0
Christoffer Dall ,49,889298
jbaron@akamai.com ,1,0
Ben Greear ,20,1519047
Vasanthakumar Thiagarajan ,42,1201540
Masaki Ota ,3,4389542
Philippe Reynes ,117,375938
Eric Nelson ,13,3471775
Yannis Damigos ,5,109200
Daeseok Youn ,52,780026
Eric Salem ,1,0
Grygorii Maistrenko ,1,0
David Binder ,29,519283
Jon Frisch ,13,107910
Matt Kilgore ,1,0
Sabitha George ,1,0
Matias Mucciolo ,3,647408
wang di ,58,229269
Quentin Lambert ,9,5724299
Bryan O'Donoghue ,136,324849
Chase Metzger ,5,8975438
Vaibhav Agarwal ,74,365047
Thor Thayer ,64,703599
Sascha Hauer ,73,612254
Scott Telford ,3,751066
Anirudha Sarangi ,2,435886
Alexey Starikovskiy ,1,0
"Rusk, Mark ",1,0
Luis R. Rodriguez ,109,404070
Vitaly Kuznetsov ,149,287010
Michael Moese ,2,0
Kyle Jones ,1,0
Yonglong Wu ,1,0
Tomi Valkeinen ,199,213340
Mickaël Salaün ,19,1340865
Wei Ni ,28,1267650
dawei.chien@mediatek.com ,3,6854612
Laxman Dewangan ,221,203629
Marc Gonzalez ,22,1454855
Bui Duc Phuc ,3,642428
Zhang Rui ,6,7834132
Rocky Hao ,2,0
Jia Hongtao ,4,4454431
Caesar Wang ,107,366223
Eduardo Valentin ,32,1405074
Rajendra Nayak ,32,1402851
Thomas Huth ,18,2275579
Vinod Koul ,220,204599
Ville Ranki ,1,0
Siebren Vroegindeweij ,1,0
Hugh Kang ,1,0
Vincent Stehlé ,11,3244888
Gayatri Kammela ,6,4303094
Yong Zhi ,9,3403512
Gonçalo Salazar ,1,0
Emmanuel Grumbach ,127,357538
Alex Williamson ,55,799799
Ziyuan Xu ,2,5482645
Baolin Wang ,19,1949019
Ai Kyuse ,3,9236883
Thierry Reding ,392,112995
Jin Guojun ,1,0
Guodong Xu ,16,2093707
Daniel Glöckner ,2,1802537
Jungseung Lee ,3,11505737
Michael Weiser ,2,2974334
Jean-Francois Moine ,12,3401804
Douglas Anderson ,72,518427
Christopher Freeman ,1,0
Uri Yanai ,1,0
Ben Dooks ,112,392319
Bamvor Jian Zhang ,25,1425114
Vasily Averin ,7,6606171
Sam Van Den Berge ,1,0
Cathy Luo ,4,14577645
Anand Jain ,70,611434
Jeff Mahoney ,50,749561
Hante Meuleman ,93,475362
Arend Van Spriel ,9,755059
彭东林 ,1,0
Adam Thomson ,51,644438
Vishal Thanki ,3,7469833
Danny Milosavljevic ,3,83335
Qu Wenruo ,59,717357
Luis Henriques ,14,3334436
Naohiro Aota ,3,17889683
Lu Fengqi ,1,0
Eric Jeong ,1,0
Ganapathi Bhat ,10,3342384
Jason Baron ,17,2730616
Simon Wood ,24,1773710
Frank Praznik ,13,3659056
Michel Hermier ,1,0
Purushottam Kushwaha ,3,3537443
Robert Jarzmik ,143,305607
Dave Chinner ,107,391312
KOVACS Krisztian ,1,0
Christopher Pezley ,1,0
Antti Keränen ,1,0
Claudiu Manoil ,28,1614136
Christophe Leroy ,62,502627
Kevin Hao ,17,2593130
Mitch Williams ,106,375907
Zhao Qiang ,27,1143621
Vaishali Thakkar ,76,555234
Akeem Abodunrin ,1,0
Bimmy Pujari ,6,2312162
Henry Tieman ,1,0
Preethi Banala ,4,4141317
Alan Brady ,4,1074920
Harshitha Ramamurthy ,4,4924978
Kamal Dasu ,10,4533603
John Keeping ,38,723727
Sandeep Tayal ,1,0
Oder Chiou ,34,1322386
Joonwoo Park ,5,10981739
Dharageswari R ,13,2095342
Wonjoon Lee ,1,0
Jan Remmet ,1,0
Sean Wang ,31,122046
Moshe Shemesh ,6,214092
Peter Griffin ,82,547131
Shubhrajyoti Datta ,27,1663964
Sean Paul ,20,2085660
Vignesh Raman ,1,0
Dean Jenkins ,15,2644841
Giedrius Statkevičius ,13,3633583
zino lin ,1,0
Alexander Solganik ,1,0
Chaitanya Kulkarni ,1,0
James Smart ,77,541144
Kelvin Cheung ,11,1444167
Enric Balletbo i Serra ,25,1742961
Christian Gromm ,147,252597
Glauber Costa ,1,0
Jagan Teki ,7,7076209
Nils Wallménius ,20,904701
yizhouzhou@ict.ac.cn ,1,0
Daniel Wagner ,28,1465685
Andrea Gelmini ,54,201720
Nilesh Bacchewar ,1,0
Jannik Becher ,2,2503827
Johan Svensson ,1,0
Daniel Schultz ,1,0
Juliana Rodrigues ,8,2208181
Eva Rachel Retuya ,56,536998
Douglas Caetano dos Santos ,1,0
AKASHI Takahiro ,8,4006747
David Daney ,59,618247
Michal Marek ,24,1672112
Harvey Hunt ,12,2031004
Kyle Roeschley ,2,17770177
Han Xu ,9,4941818
Mark Rustad ,83,535197
Anssi Hannula ,3,12263970
Lihong Yang ,1,0
Sridhar Samudrala ,8,2184409
Carolyn Wyborny ,21,1884260
Andrey Vagin ,8,4362913
Rui Teng ,4,4205907
Russell Currey ,16,1558486
Jyri Sarha ,89,501751
Oren Givon ,26,1514229
Vadim Pasternak ,3,589768
Matthias Schwarzott ,21,1331020
Abylay Ospan ,23,1319246
Harman Kalra ,3,78645
Arek Lichwa ,1,0
Rabin Vincent ,68,641960
Joe Thornber ,48,885824
Frank Min ,1,0
Ole Ernst ,1,0
Jesper Nilsson ,5,8286756
Guoqing Jiang ,61,558487
Antti Palosaari ,126,343607
Sakari Ailus ,77,584088
Pan Xinhui ,16,2497819
Srivatsa Vaddagiri ,1,0
Cheng Chao ,2,1
Gustavo Padovan ,168,255151
Brian Starkey ,8,2265157
Tom Gundersen ,2,6
Catalin Vasile ,4,10076211
Con Kolivas ,1,0
Rehas Sachdeva ,42,430438
Katie Dunne ,2,340995
David Lin ,41,427280
Richard Groux ,3,195077
Andrey Shvetsov ,17,54478
Jan Kiszka ,17,2731888
Adam Borowski ,7,2117614
Andrew Banman ,11,2309582
Kai-Heng Feng ,5,4536855
Sergei Miroshnichenko ,1,0
Karol Herbst ,36,800076
Yuchung Cheng ,36,1089777
Ilia Mirkin ,23,1661007
Rana Shahout ,9,5186459
Rahul Lakkireddy ,8,372435
Raghavendra Ganiga ,1,0
Dmitry Bazhenov ,2,370
Don Brace ,50,844302
Kiwoong Kim ,2,1069652
Gabriele Mazzotta ,8,6171747
Dou Liyang ,3,585228
Gu Zheng ,5,9823034
Tang Chen ,4,11024879
Christian Lamparter ,16,1160939
Martin Brandenburg ,68,456548
Yadi.hu ,1,0
Hans Verkuil ,453,97896
Simon A. F. Lund ,3,5952790
Tomasz Figa ,13,3635418
Valdis Kletnieks ,13,2742649
Vaibhav Hiremath ,79,479206
David Kershner ,104,420978
Jamie Lentin ,13,2922388
James Simmons ,153,267449
Nogah Frankel ,16,547212
hayeswang ,33,1151442
Neal Cardwell ,13,2710322
Mahesh Bandewar ,20,2292522
Alan Cox ,10,2691381
Richard Sailer ,7,4969959
Matt Ranostay ,75,543741
Zhou Wenjian ,2,5
Kalle Kankare ,2,6101482
Tyler Baicar ,2,60
Ladislav Michl ,2,29725255
Aleksander Alekseev ,1,0
Vincent Abriou ,36,1160186
Heinrich Schuchardt ,34,586705
Ray Strode ,1,0
Rafael Antognolli ,4,6363627
Cathal Mullaney ,3,111903
Hariharan R ,2,700542
Xavier Roumegue ,1,0
Anchal Jain ,21,918041
Nayeemahmed Badebade ,5,8065785
Fabien Dessenne ,18,2381216
Benjamin Gaignard ,16,2383949
Jesper Dangaard Brouer ,52,845826
Jacek Anaszewski ,46,968821
Rob Swindell ,8,3296540
Vincent Bernat ,3,17031403
Eddie Wai ,1,0
Deepak Khungar ,1,0
Steffen Klassert ,11,4380494
Ashish Samant ,6,3272116
Santosh Shilimkar ,16,2252643
Ebru Akagunduz ,9,3442961
Pratyush Anand ,16,2603125
Neil Armstrong ,110,287658
Vinson Lee ,3,7186120
Ulrich Hecht ,50,875188
Nick Dyer ,22,1694292
Georges Savoundararadj ,1,0
Szymon Janc ,11,3174720
Loic Poulain ,35,1196864
Marcel Holtmann ,101,405584
Frédéric Dalleau ,1,0
Alexander Aring ,223,190452
Kieran Bingham ,34,964220
Edward O'Callaghan ,18,1295938
Charles-Antoine Couret ,7,889504
Andrey Utkin ,6,2281682
Songjun Wu ,18,1692519
Andy Adamson ,13,1631973
Amitoj Kaur Chawla ,266,163151
Johan Fjeldtvedt ,6,222194
kevin Barnett ,1,0
Mahesh Rajashekhara ,10,3020773
Tiffany Lin ,20,1523234
Bryant G. Ly ,5,1324444
Marian Krivoš ,1,0
Nikolai Kondrashov ,8,0
Ilan Tayari ,1,0
Lothar Waßmann ,45,412941
RogerCC Lin ,2,31
Roee Zamir ,1,0
Doug Oucharek ,9,2259919
Sebastien Buisson ,12,2420539
Quentin Bouget ,1,0
Ned Bass ,3,6919836
Mikhail Pershin ,4,4122301
frank zago ,10,2958427
Johann Lombardi ,1,0
Artem Blagodarenko ,1,0
Bobi Jam ,12,1352102
Fan Yong ,15,2282043
John L. Hammond ,83,493659
Liang Zhen ,32,1030600
Dmitry Eremin ,55,763587
Andreas Dilger ,29,1566727
Alexander Boyko ,7,2061082
Jinshan Xiong ,38,401960
Nathaniel Clark ,10,894541
Amir Shehata ,33,570758
Bob Glossman ,3,3906753
Alexey Lyashkov ,1,0
Yoshifumi Uemura ,1,0
Niu Yawei ,12,2904354
Henri Doreau ,5,4933374
Lai Siyao ,9,1545739
Jian Yu ,5,4327503
Yang Sheng ,3,3906358
Vitaly Fertman ,8,2124534
Li Xi ,9,3993402
Stephen Champion ,2,0
Patrick Farrell ,3,3906358
Prakash Surya ,5,3091329
Wang Shilong ,2,6501834
Kristian H. Kristensen ,2,319569
Alexander Zarochentsev ,1,0
Sharon Dvir ,4,8093068
Arik Nemtsov ,25,1831940
Avrahams Stern ,1,0
Steve Longerbeam ,16,644945
Aviya Erenfeld ,9,4449187
Liad Kaufman ,41,1099068
Thadeu Lima de Souza Cascardo ,7,5807966
Carlos Maiolino ,13,3209893
Peter Meerwald-Stadler ,21,787767
Gregor Boirie ,31,595923
Amitesh Singh ,2,513693
Ico Doornekamp ,1,0
Jon Eyolfson ,1,0
Andrew Kanner ,1,0
Bob Copeland ,40,1143539
phil.turnbull@oracle.com ,2,4549185
Filipe Manco ,1,0
Gabriel Fernandez ,26,1514246
Alexandre Courbot ,110,374547
Jordan Lazare ,3,10415109
Matthias Kaehlcke ,4,58120
Mark Salter ,7,6008429
Laurent Navet ,9,5300513
Markus Heiser ,29,240289
Robert Foss ,10,1488392
Vinay Simha BN ,8,5302299
Michael Olbrich ,2,5739468
Luiz Capitulino ,11,4304696
"Winkler, Tomas ",4,75
Chanwoo Choi ,131,332498
Mika Kahola ,31,1431376
Phil Turnbull ,9,2386361
Cheng-Yi Chiang ,1,0
Aihua Zhang ,2,16118768
Jean-Philippe Brucker ,16,1972409
Peng Fan ,19,2189611
Gargi Sharma ,17,15186
Thomas Richter ,10,5143131
Ursula Braun ,13,2594830
Hans Wippel ,4,2624660
Mark Tomlinson ,3,9136480
Ivan Mikhaylov ,3,15254968
Jun Nie ,40,1109217
Paul E. McKenney ,285,147087
Tobias Regnery ,6,342807
Jerome Brunet ,10,11295
Nishanth Menon ,60,708932
Yang Li ,1,0
hotran ,6,965048
Duc Dang ,49,842196
Asbjoern Sloth Toennesen ,1,0
Stefan Roese ,14,2470117
Beni Lev ,3,8826319
wangguang ,1,0
Karl Beldan ,13,267540
Tomas Winkler ,98,427355
Deepak M ,12,2244632
Fabien Lahoudere ,3,1593059
Liu Xiang ,2,21205951
Dave Gordon ,77,502824
David A. Long ,6,997565
Fan Li ,18,2069089
Leo Yan ,30,1460000
Kevin Hilman ,31,1327603
Grigory Kletsko ,1,0
Mayurkumar Patel ,3,7
Junwei Zhang ,13,2780559
Scott Teel ,7,4464466
Finn Thain ,108,369402
Minfei Huang ,25,1747319
Martin Kaiser ,4,1007414
Nicolin Chen ,19,2295388
Samaga Krishna ,1,0
John Garry ,105,243889
Matthew R. Ochs ,50,725639
Jeeja KP ,132,341259
John Hsu ,17,1006633
Hsin-Yu Chao ,2,443929
Rodrigo Vivi ,85,541027
Simon Horman ,216,201426
Andreas Kemnade ,9,2383852
Li Jun ,44,828835
Deepak ,1,0
Rik van Riel ,27,1646173
Alexander Sverdlin ,17,2640006
Bharat Kumar Gogada ,14,1254979
Lars Persson ,28,1319355
Simon Chopin ,1,0
Ryan Swan ,1,0
Mike Kofron ,1,0
Shaily Sangwan ,1,0
Omri Arad ,1,0
PrasannaKumar Muralidharan ,14,1122631
Giovanni Cabiddu ,3,4236764
Thomas Pedersen ,1,0
"Agrawal, Nitesh-kumar ",3,1459161
Darren Stevens ,5,1620669
Daniel Axtens ,56,772252
"Navare, Manasi D ",2,285170
Chris Zhong ,31,1253083
Al Stone ,10,4161151
Anisse Astier ,4,13108717
Chen Yu ,16,2356522
Maruthi Srinivas Bayyavarapu ,18,2136432
Po Liu ,4,338
Tomasz Nowicki ,21,1195543
Jorge Ramirez-Ortiz ,7,2761230
Sugar Zhang ,14,2167246
Matthias Seidel ,2,547518
Daniel Thompson ,23,1916382
Maarten Lankhorst ,312,144828
Stephen Warren ,11,1795079
Alexander Shiyan ,42,202712
Erik Arfvidson ,66,655202
Bryan Thompson ,7,398820
Claudiu Beznea ,18,936247
Pavel Andrianov ,3,3231794
Luca Ceresoli ,45,968370
Amit Ghadge ,2,9992460
Raphaël Beamonte ,26,1362784
Maxim Altshul ,7,800407
Denis Kenzior ,5,1424757
Anurag Kumar Vulisha ,6,7948357
Daniel Lezcano ,146,237644
Gautham R. Shenoy ,6,6823288
Suresh Warrier ,19,939758
Mylène Josserand ,20,776596
Joshua Scott ,4,13459744
Rui Wang ,9,2063795
Maninder Singh ,21,2046638
Venkat Reddy Talla ,5,1570929
Frank Wang ,5,519761
Sekhar Nori ,27,1403114
Harry Pan ,1,0
Tommaso Cucinotta ,5,667571
Bob Moore ,121,343420
Jim Bride ,5,3183534
Shaun Tancheff ,7,1355135
Petr Cvek ,25,1190852
Ian Campbell ,8,4960956
Ivan Hu ,1,0
Ricardo Neri ,2,35157701
Sylvain Chouleur ,3,15990886
Jouni Ukkonen ,1,0
Suzuki K Poulose ,80,216399
Zhen Lei ,19,2058715
Jean-Christophe Trotin ,5,59112
Waiman Long ,37,1176280
Eric Bentley ,1,0
Dan Kephart ,2,4472199
Ashok Raj Nagarajan ,9,5787376
Harish Jenny K N ,2,18
Vivek yadav ,1,0
Uma Krishnan ,10,2365491
Chunyan Zhang ,15,2604747
Clemens Gruber ,7,5598447
Xinming Hu ,57,754153
thomas.zeitlhofer+lkml@ze-it.at ,1,0
Quentin Schulz ,5,2384388
Matt Weber ,1,0
Thilo Cestonaro ,3,2187131
Daniel Golle ,5,898446
Yaogong Wang ,1,0
Artem Germanov ,1,0
Thomas F Herbert ,1,0
Gal Pressman ,30,1355627
Bodong Wang ,5,7470978
Lorenzo Colitti ,12,2160588
Zubair Lutfullah Kakakhel ,14,2164495
Andrew Bresticker ,14,3265827
Furquan Shaikh ,2,29813762
Mark Salyzyn ,3,14656510
Doug Anderson ,21,2162408
Shardar Shariff Md ,10,4676551
Casey Schaufler ,15,2997097
Zhuo-hao Lee ,1,0
Wenbo Wang ,1,0
Meng Yi ,6,4511095
Andrej Rosano ,2,9
Alex Ng ,9,4322883
David Hildenbrand ,191,222325
Fan Zhang ,3,17321461
Suravee Suthikulpanit ,51,750961
Jim Baxter ,1,0
Shanker Donthineni ,10,2081854
oliver@schinagl.nl ,1,0
Allen Hung ,4,8258697
Takeshi Kihara ,17,2056985
Vladimir Barinov ,18,2015394
Wei Yang ,35,1230266
subashab@codeaurora.org ,4,11777258
Daniel Baluta ,51,894379
Somnath Kotur ,12,3828206
Suraj Jitindar Singh ,14,1259957
Tomer Tayar ,6,4755995
Shuoran Liu ,5,4277104
Carlos Santa ,22,0
Joachim Eastwood ,161,265261
Manasi Navare ,2,0
Durgadoss R ,2,45555362
Ander Conselvan de Oliveira ,111,414139
Roger Chen ,4,136921
Jan Dakinevich ,2,2
Liang Li ,1,0
Corentin LABBE ,19,744108
Maksim Lukoshkov ,2,598055
Marco Angaroni ,9,1991251
David Weinehall ,14,3104760
Dexuan Cui ,30,1445095
Thinh Nguyen ,1,0
K. Y. Srinivasan ,50,831277
Helmut Buchsbaum ,9,5284475
Woojung Huh ,7,2473203
Ezequiel Garcia ,57,746892
Loic PALLARDY ,2,19
Haixia Shi ,2,18152517
Akash Goel ,15,2600199
Torgue Alexandre ,1,0
Jonathan Austin ,6,0
Zhi Wang ,12,634607
Ping Gao ,2,559
Jan Leupold ,3,19137000
Dirk Behme ,15,2624893
Alexander Kuleshov ,56,745724
Martin Schwidefsky ,115,332758
Seung-Woo Kim ,8,5921083
Weiqing Kong ,2,1
Tal Shorer ,14,3127179
James Pettigrew ,2,23
Thiago Jung Bauermann ,4,3807733
Lin Huang ,10,3740820
Dmitry Monakhov ,8,5541604
Kaho Ng ,3,5178008
Daeho Jeong ,9,4433924
Crt Mori ,6,7160231
HungNien Chen ,5,9478438
David Hsu ,1,0
Khiem Nguyen ,2,6584119
Jeffrey Hugo ,4,439
seokhoon.yoon ,5,2320668
Byungchul Park ,14,2832570
Stephane Eranian ,34,1264722
Paul Kocialkowski ,19,2333057
Andy Yan ,11,1939207
Vanessa Maegima ,4,772255
Michael Trimarchi ,7,4102140
Yakir Yang ,58,398678
Shunqian Zheng ,5,1497719
Joe Stringer ,42,880260
Pierre-Louis Bossart ,40,851878
Stanislaw Gruszka ,8,5508642
Guy Mishol ,8,5061557
Ismael Luceno ,2,5810180
Christian Engelmayer ,12,3770330
William Breathitt Gray ,64,428251
"Kweh, Hock Leong ",2,11082953
Alison Schofield ,95,304452
Christoph Fritz ,6,3235790
Sien Wu ,1,0
Sergey Ryazanov ,3,4878003
Karthik D A ,3,2012847
Rajan Vaja ,3,20345072
Raghu Vatsavayi ,53,747308
Bhushan Shah ,6,166142
Emanuel Czirai ,1,0
Lianwei Wang ,2,5774302
Jubin John ,51,630647
Sebastian Frias ,7,3002222
Kevin Barnett ,22,1533718
"Rosen, Rami ",4,11678479
Brendan Gregg ,2,2088002
Raju Rangoju ,1,0
Jon Masters ,2,6283898
Maharaja Kennadyrajan ,4,9566658
Finley Xiao ,5,3017821
Tamizh chelvam ,8,4014934
Louie Lu ,3,511749
Anson Jacob ,31,34329
Sandeep Patil ,12,1329880
Philip Yang ,2,3592101
David Rientjes ,17,2594586
Mel Gorman ,121,313201
Alexander Müller ,7,1634650
Roopa Prabhu ,29,1352385
Carlo Caione ,35,1210911
Dave Ertman ,3,692917
Jaswinder Jassal ,1,0
Richard Leitner ,3,5933888
Harsha Priya ,3,17512640
Teresa Remmet ,8,5040269
Parthasarathy Bhuvaragan ,22,888165
Wu Fengguang ,14,3253611
Stuart Yoder ,39,924240
MingChia Chung ,1,0
Matthias Beyer ,2,4147126
Binoy Jayan ,30,249049
Didik Setiawan ,2,1471876
Johanna Abrahamsson ,6,193152
Ben LeMasurier ,3,605216
Lokesh Nagappa Jaliminche ,1,0
Andrew Perepechko ,6,6083986
Milian Wolff ,7,5654918
York Sun ,14,3049927
Steve Muckle ,8,1609820
Ruchi Kandoi ,2,40684598
Kyle Walker ,1,0
Pratyush Patel ,3,3564532
Andrew F. Davis ,100,352762
Mateusz Guzik ,9,2573472
Chunming Zhou ,164,241051
Ken Wang ,29,1403265
Maruthi Bayyavarapu ,3,11481658
Akinobu Mita ,65,646825
Davide Caratti ,4,1063886
Jan Östlund ,2,0
Omer Khaliq ,1,0
Ananth Jasty ,1,0
J.D. Schroeder ,3,17963374
Jimi Damon ,1,0
Nandor Han ,4,0
Sebastian Reichel ,59,648854
Florian Vallee ,2,10987398
Eddie Huang ,15,2955348
Bhuvanchandra DV ,11,2687616
Ludovic Desroches ,71,580148
Vyacheslav V. Yurkov ,1,0
Alex Shi ,1,0
Konstantin Khlebnikov ,61,673728
Martin Fuzzey ,12,3708576
Muhammad Falak R Wani ,64,455511
Xiubo Li ,25,1386093
Jerome Marchand ,11,2586834
Wadim Egorov ,11,1893788
Eli Billauer ,3,16922422
Zhouyi Zhou ,2,7140283
Frank Haverkamp ,1,0
Alexander Kapshuk ,25,1145860
Ben Werbowyj ,3,0
Benedikt Spranger ,1,0
Kim Phillips ,2,38112377
Xavier Gnata ,1,0
Andreas Noever ,2,10433740
Alessio Igor Bogani ,11,1489716
Aaron Sierra ,9,4245140
Andreas Werner ,9,3437630
Jan Viktorin ,1,0
Olivier Schonken ,3,2500378
Vic Yang ,2,10
Lior David ,22,974144
Michal Kazior ,148,319146
Robert Baldyga ,109,318937
Romain Izard ,13,1587112
Andy Green ,9,2966420
"Prakash, Prashanth ",10,1670580
Ashwin Chaugule ,16,2142147
Carlos Garnacho ,1,0
Sebastiaan Schalbroeck ,2,711347
Guenther Wutz ,1,0
Rask Ingemann Lambertsen ,2,0
William Roberts ,5,477559
Vignesh R ,39,1157733
Nariman Poushin ,6,7099102
Anson Huang ,23,1783728
Jose Abreu ,8,1809844
Shrirang Bagul ,2,2502234
Quorum Laval ,1,0
"Peer, Ilan ",1,0
Vlad Dogaru ,17,2744535
Wei Jiangang ,7,4128163
Gwenhael Goavec-Merou ,1,0
Clifton Barnes ,10,1467125
Ken Lin ,4,5561908
Rob Rice ,4,932500
Vidya Sagar Ravipati ,2,8240440
Owen Lin ,1,0
Andrea Merello ,7,3509448
Eran Ben Elisha ,40,975048
Mukesh Ojha ,1,0
Zhu Yanjun ,4,7330637
Jon Cooper ,7,6845070
Edward Cree ,32,1324852
Andrew Rybchenko ,13,518171
Richard Alpe ,26,1642748
Subash Abhinov Kasiviswanathan ,2,33578804
Stefan Müller-Klieser ,1,0
Andy Gross ,47,660618
Shiraz Saleem ,10,1149375
Mustafa Ismail ,15,147277
Xing Zheng ,63,510063
Kris Huang ,3,894641
Simon Baatz ,1,0
Tyrel Datwyler ,12,1445631
Anjali Singhai Jain ,58,690528
Xander Huff ,3,16225270
Lucas De Marchi ,3,1
José Roberto de Souza ,1,0
Weifeng Voon ,6,1161952
Luiz Augusto von Dentz ,2,0
Johnny Chuang ,1,0
Tatyana Nikolova ,8,5034819
Alex Lyakas ,4,4495011
Felipe F. Tonello ,26,1160783
Jaret Cantu ,1,0
Philipp Gesang ,1,0
William Wu ,7,1238886
Jussi Kivilinna ,3,0
Purna Chandra Mandal ,20,646866
Mike Christie ,56,360988
Douglas Fuller ,5,0
Stanimir Varbanov ,14,2098322
Stephen Backway ,2,3724839
Vince Hsu ,6,4879806
Song Liu ,9,3298991
"Pandiyan, Dhinakaran ",3,21
Selvin Xavier ,8,3798543
Xinliang Liu ,20,533311
Frederic Dalleau ,1,0
Dmitry Osipenko ,4,13770336
Maxime Coquelin ,46,896130
mhiramat@kernel.org ,2,1
Florian Echtler ,7,6507839
Ricardo Ribalda ,37,1113000
Aleksandr Makarov ,2,340886
Brian Gerst ,41,1073614
Dong Jia Shi ,2,18204219
Pankaj Dubey ,25,1646775
twp@codeaurora.org ,2,4944370
Rami Rosen ,8,5262384
Phil Sutter ,53,708805
Dong Bo ,1,0
Alexandre Demers ,6,3937781
Bharat Potnuri ,1,0
Mark Yao ,35,923449
Noralf Trønnes ,20,1843554
Shreyas NC ,7,1782867
Mathieu OTHACEHE ,17,1285139
Ivan Khoronzhuk ,26,1468815
Dave Watson ,1,0
Mike Manning ,5,2605398
Mikko Rapeli ,35,1113695
Andrew Duggan ,23,1753611
Mitko Haralanov ,66,399361
Hugo Grostabussiat ,1,0
Stefan Mavrodiev ,1,0
oulijun ,5,59476
Mengdong Lin ,41,1039631
Henry Chen ,14,2745276
CK Hu ,6,1869734
Ding Tianhong ,3,14515275
James Hartley ,5,2179512
Matt Roper ,75,584052
perr perr ,1,0
Honghui Zhang ,6,1072270
Daniel Mack ,8,5430073
Beniamino Galvani ,3,1659727
Kwangwoo Lee ,1,0
Nicolas Saenz Julienne ,3,8330998
Dinh Nguyen ,50,826200
Boqun Feng ,26,1423064
Zhiyong Tao ,2,79
Jonas Rickert ,1,0
Shiva Kerdel ,1,0
Nipun Gupta ,1,0
Parth Sane ,9,1577671
Anuradha Weeraman ,1,0
Rithvik Patibandla ,9,0
Edward Lipinsky ,3,20362930
Stefan Wolz ,4,0
yeongjun Kim ,1,0
Samuele Baisi ,1,0
Prit Raj ,1,0
Ming Yang ,1,0
Michal Suchanek ,31,1267776
Chen Feng ,18,1397856
Kevin McKinney ,3,0
YU Bo ,1,0
Joshua Houghton ,3,2741193
Anthony Sheldon ,1,0
Ravishankar Karkala Mallikarjunayya ,17,348108
Cheah Kok Cheong ,2,24130776
H Hartley Sweeten ,837,49503
Emoly Liu ,7,1647163
Hongchao Zhang ,3,8624922
Andriy Skulysh ,4,3359688
Brian Behlendorf ,1,0
Christopher J. Morrone ,1,0
Gregoire Pichon ,2,26049915
Chris Horn ,4,5260164
Ryan Haasken ,1,0
Giorgio Dal Molin ,1,0
Jelle van der Waa ,6,5686210
Aleksei Mamlin ,15,2975535
Daniel Romell ,1,0
Don Skidmore ,41,946314
Veola Nazareth ,2,20301590
Shrikrishna Khare ,15,2223763
William Tu ,4,2021693
Haiyang Zhang ,16,2351681
Avinash Dayanand ,8,1679345
Jeff Kirsher ,5,10234943
Catherine Sullivan ,42,947747
Shunli Wang ,2,1719
James Liao ,26,1629715
Liav Rehana ,1,0
Bob Liu ,28,1410039
Luwei Kang ,1,0
Bandan Das ,9,4611864
Brendan Jackman ,1,0
Punnaiah Choudary Kalluri ,4,11736976
Michal Simek ,40,1044454
Alexander Graf ,5,2023143
Maya Erez ,27,846740
Lazar Alexei ,1,0
Eduardo Abinader ,6,1435578
Lucile Quirion ,4,109923
Daniel Verkamp ,1,0
Xunlei Pang ,29,1402617
Gangfeng Huang ,4,0
Jiri Kosina ,44,963186
Appana Durga Kedareswara Rao ,4,177658
shubhrajyoti.datta@xilinx.com ,1,0
Eric Wheeler ,6,2824722
Kent Overstreet ,12,3370744
Elaine Zhang ,15,1079351
Jessica Yu ,13,1317739
Eugeniu Rosca ,2,1494938
baolex.ni ,1,0
Maik Broemme ,1,0
Ricardo Ribalda Delgado ,27,1477646
Clint Taylor ,2,7511175
Artemy Kovalyov ,3,2420119
Ann Chen ,2,2298589
Peter Feiner ,3,12388539
Andi Shyti ,32,561710
Morten Rasmussen ,11,2938164
Madhavan Srinivasan ,14,2949590
Tillmann Heidsieck ,6,5603018
Jay Freyensee ,6,5097123
Emily Deng ,16,52314
Artur Paszkiewicz ,2,21042172
Ilya Lesokhin ,2,2917065
Joshua Clayton ,32,1047061
Yuta Kobayashi ,1,0
Pawel Moll ,15,2923679
Kamlakant Patel ,15,2890836
Jarod Wilson ,21,1961764
Kshitiz Gupta ,1,0
Felix Kuehling ,8,2946239
Christoph Huber ,1,0
Tim Harvey ,17,2376990
Xiaodong Liu ,3,5304473
Jim Lin ,3,3325492
Alban Browaeys ,1,0
sean.wang@mediatek.com ,5,50461
Jonathan Yong ,1,0
Laurence Rochfort ,1,0
Ben Evans ,3,14477310
He Kuang ,49,853407
Anders Darander ,1,0
Bing Sun ,1,0
Gavin Li ,1,0
Irina Tirdea ,47,895578
Breno Lima ,2,44
Vincent ,1,0
Gerard Garcia ,1,0
Øyvind A. Holm ,1,0
Zyta Szpak ,1,0
Jerin Jacob ,1,0
Radoslaw Biernacki ,1,0
Aaron Yue ,1,0
Sargun Dhillon ,5,392128
"Anna, Suman ",13,7
Grzegorz Jaszczyk ,17,24042
Jung-uk Kim ,2,0
